Id,League,Date,Time,Round,Home,Away,posicao_home,posicao_away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,Media_GM_H,Media_GS_H,Media_GM_H_10,Media_GS_H_10,Media_Total_2HT_H,CV_Media_Total_2HT_H,PPJ_H,CV_Pontos_H,Porc_Over05HT_Home,Porc_Over15HT_Home,Porc_Under05HT_Home,Porc_Home_Win,Porc_Home_Win_HT,Porc_Over25FT_Home,Porc_BTTS_Home,Diferente_0x0_Home,Media_GM_A,Media_GS_A,Media_GM_A_10,Media_GS_A_10,Media_Total_2HT_A,CV_Media_Total_2HT_A,PPJ_A,CV_Pontos_A,Porc_Over05HT_Away,Porc_Over15HT_Away,Porc_Under05HT_Away,Porc_Away_Win,Porc_Away_Win_HT,Porc_Over25FT_Away,Porc_BTTS_Away,Diferente_0x0_Away,xg_home,xg_away,xg_jogo
rHiFR4Ta,SUÉCIA - ALLSVENSKAN,2024-04-06,14:00,RODADA 2,Brommapojkarna,AIK Stockholm,4.0,11.0,,,,,,,,1.4,1.4,1.5,1.3,1.3,0.11,1.7,0.83,70.0,50.0,30.0,50.0,30.0,70.0,60.0,90.0,0.4,2.0,0.9,2.0,1.2,0.15,0.5,1.94,80.0,60.0,20.0,10.0,10.0,60.0,70.0,100.0,1.67,0.75,2.42
pMPlBqqJ,SUÉCIA - ALLSVENSKAN,2024-04-06,14:00,RODADA 2,Djurgarden,Hacken,9.0,1.0,,,,,,,,1.4,0.2,1.4,0.9,1.0,0.35,2.0,0.67,60.0,30.0,40.0,60.0,30.0,40.0,30.0,90.0,1.2,1.6,1.3,1.6,2.0,0.16,0.8,1.54,70.0,10.0,30.0,20.0,20.0,60.0,60.0,100.0,1.5,0.49,1.99
jNShWwQq,ÁUSTRIA - BUNDESLIGA,2024-02-10,13:00,RODADA 18,Altach,BW Linz,10.0,9.0,2.24,3.37,2.81,,,,,1.2,0.4,1.0,0.86,1.14,0.43,1.43,1.06,42.86,14.29,57.14,42.86,28.57,42.86,28.57,85.71,0.4,2.2,1.14,2.29,1.86,0.15,0.86,1.71,71.43,57.14,28.57,28.57,28.57,57.14,42.86,100.0,1.62,0.4,2.02
lEtRzKHS,ÁUSTRIA - BUNDESLIGA,2024-02-10,13:00,RODADA 18,Austria Vienna,Hartberg,8.0,4.0,1.97,3.75,3.36,,,,,1.0,0.0,1.0,0.29,0.71,0.21,1.57,0.62,28.57,28.57,71.43,28.57,14.29,28.57,14.29,42.86,1.4,1.6,1.57,1.29,1.57,0.25,1.29,0.97,57.14,42.86,42.86,28.57,28.57,57.14,57.14,85.71,1.26,0.0,1.26
84YIxtmG,ÁUSTRIA - BUNDESLIGA,2024-02-10,13:00,RODADA 18,LASK,A. Klagenfurt,3.0,5.0,1.6,4.1,4.86,,,,,1.2,0.0,1.57,0.14,1.0,0.39,2.71,0.28,57.14,14.29,42.86,85.71,57.14,14.29,14.29,85.71,2.0,0.6,1.71,1.29,1.86,0.15,2.0,0.65,85.71,28.57,14.29,57.14,42.86,71.43,42.86,85.71,0.85,0.0,0.85
EsZEwMX9,ÁUSTRIA - BUNDESLIGA,2024-02-10,13:00,RODADA 18,Red Bull Salzburg,Sturm Graz,1.0,2.0,1.75,3.95,3.99,,,,,1.6,0.8,1.57,0.57,1.29,0.38,2.14,0.68,57.14,28.57,42.86,71.43,28.57,28.57,14.29,100.0,1.6,1.0,1.57,1.0,1.29,0.17,2.0,0.65,85.71,42.86,14.29,57.14,28.57,57.14,71.43,100.0,1.26,1.13,2.39
KdXdVcuj,ÁUSTRIA - BUNDESLIGA,2024-02-10,13:00,RODADA 18,Tirol,A. Lustenau,11.0,12.0,1.93,3.65,3.56,,,,,1.8,1.8,1.57,2.14,2.29,0.09,0.57,1.98,85.71,28.57,14.29,14.29,28.57,57.14,71.43,100.0,0.2,1.4,0.14,1.43,1.29,0.18,0.29,1.71,28.57,0.0,71.43,0.0,0.0,14.29,14.29,85.71,1.59,0.6,2.19
6kiMy02M,ÁUSTRIA - BUNDESLIGA,2024-02-10,13:00,RODADA 18,Wolfsberger,Rapid Vienna,7.0,6.0,3.36,3.75,1.97,,,,,1.2,1.2,1.43,1.29,1.71,0.09,1.43,1.06,85.71,14.29,14.29,42.86,71.43,71.43,57.14,100.0,2.8,0.4,2.0,0.57,1.43,0.4,1.86,0.79,57.14,42.86,42.86,57.14,28.57,42.86,14.29,85.71,0.69,1.83,2.52
lpunGGW4,PAÍSES BAIXOS - EREDIVISIE,2024-01-12,16:00,RODADA 17,Waalwijk,Heracles,15.0,14.0,,,,,,,,1.2,2.0,1.14,2.29,2.0,0.23,0.57,1.98,100.0,28.57,0.0,14.29,42.86,85.71,71.43,100.0,1.8,1.8,1.43,2.43,2.29,0.21,0.71,1.56,85.71,42.86,14.29,14.29,14.29,71.43,57.14,100.0,1.47,1.9,3.37
SzvjFznB,PAÍSES BAIXOS - EREDIVISIE,2024-01-13,12:30,RODADA 17,Sittard,Sparta Rotterdam,10.0,7.0,,,,,,,,2.0,1.2,1.86,1.0,1.29,0.14,2.29,0.55,71.43,42.86,28.57,71.43,42.86,71.43,57.14,85.71,1.4,1.2,1.29,1.14,1.29,0.14,1.43,1.06,57.14,42.86,42.86,42.86,28.57,57.14,57.14,85.71,1.55,1.3,2.85
h6sJLnQh,ITÁLIA - SERIE A,2023-12-16,11:00,RODADA 16,Lecce,Frosinone,13.0,12.0,2.15,3.3,3.5,2.05,1.75,1.8,1.95,1.2,1.0,1.29,0.86,1.29,0.07,1.71,0.73,71.43,14.29,28.57,42.86,14.29,28.57,57.14,100.0,0.6,1.6,0.5,1.67,1.17,0.33,0.33,1.55,83.33,16.67,16.67,0.0,16.67,33.33,50.0,83.33,1.39,0.77,2.16
4YbvFY9m,PORTUGAL - LIGA PORTUGAL 2,2023-12-16,11:00,RODADA 14,Penafiel,Leiria,17.0,9.0,3.1,3.1,2.38,2.25,1.62,1.83,1.83,1.4,1.6,1.4,1.6,1.6,0.33,1.4,1.08,80.0,20.0,20.0,40.0,40.0,60.0,40.0,80.0,1.2,1.4,1.0,1.33,1.17,0.12,0.67,1.82,66.67,33.33,33.33,16.67,16.67,50.0,16.67,83.33,1.4,1.39,2.79
feV2m97M,ALEMANHA - BUNDESLIGA,2023-12-16,11:30,RODADA 15,Augsburg,Dortmund,10.0,5.0,3.0,4.0,2.1,1.5,2.63,1.44,2.63,2.0,1.8,2.0,1.83,1.67,0.1,1.5,0.82,83.33,50.0,16.67,33.33,33.33,83.33,100.0,100.0,2.0,1.4,2.0,1.4,1.4,0.25,1.6,0.84,100.0,60.0,0.0,40.0,40.0,60.0,100.0,100.0,1.67,1.9,3.57
G4WblkhG,ALEMANHA - BUNDESLIGA,2023-12-16,11:30,RODADA 15,Bochum,Union Berlin,14.0,15.0,2.55,3.4,2.7,2.0,1.8,1.8,1.95,1.6,1.2,1.6,1.2,1.6,0.11,1.4,0.64,80.0,20.0,20.0,20.0,80.0,40.0,100.0,100.0,1.4,2.6,1.4,2.6,1.6,0.41,0.6,2.24,100.0,60.0,0.0,20.0,40.0,80.0,60.0,100.0,2.04,1.3,3.34
OUZ6nTMS,ALEMANHA - BUNDESLIGA,2023-12-16,11:30,RODADA 15,Darmstadt,Wolfsburg,18.0,11.0,3.25,3.6,2.1,1.8,2.0,1.67,2.1,1.0,1.8,1.5,1.83,1.67,0.25,0.83,1.4,66.67,66.67,33.33,16.67,33.33,66.67,66.67,83.33,0.8,2.4,0.83,2.5,2.0,0.12,0.5,2.45,66.67,50.0,33.33,16.67,16.67,83.33,66.67,100.0,1.55,1.2,2.75
KxwjjBN3,ALEMANHA - BUNDESLIGA,2023-12-16,11:30,RODADA 15,Mainz,Heidenheim,17.0,13.0,1.65,4.2,4.75,1.73,2.1,1.7,2.05,1.0,1.6,1.0,1.6,1.8,0.23,0.8,1.63,40.0,20.0,60.0,20.0,20.0,40.0,60.0,100.0,0.8,2.8,1.0,2.67,1.83,0.2,0.17,2.45,100.0,66.67,0.0,0.0,0.0,66.67,66.67,100.0,1.67,1.13,2.8
INVUEuC0,ARÁBIA SAUDITA - LIGA PROFISSIONAL SAUDITA,2023-12-16,12:00,RODADA 17,Al-Riyadh,Al-Khaleej,,,3.25,3.3,2.1,2.03,1.78,1.83,1.83,0.8,1.6,0.86,1.57,1.29,0.23,1.14,1.18,85.71,14.29,14.29,28.57,42.86,42.86,42.86,100.0,0.8,1.6,1.0,1.57,1.29,0.17,1.0,1.41,85.71,42.86,14.29,28.57,14.29,42.86,57.14,100.0,1.13,1.13,2.26
